Chemicals_ID,Name,length,PMID
C004784,dimethylsulfide,1,[22469147]
D004121,dimethylsulfoxide,1,[18541011]
D011276,diol,1,[12650252]
C031538,diphenyl ether,1,[17580701]
D004187,disaccharide,1,[23411445]
D004187,disaccharides,2,"[15970992, 10779724]"
D004220,disulfide,1,[2882764]
D004221,disulfiram,1,[30290491]
D004224,diterpenoid,1,[23057655]
D004227,dithionite,1,[11482651]
D004229,dithiothreitol,1,[9676240]
D004281,docosahexaenoic acid,4,"[15694592, 7968276, 20549377, 21518217]"
C026219,docosapentaenoic acid,1,[20549377]
C028913,dodecyl sulfate,1,[504363]
C028042,dolomite,2,"[17830369, 14649862]"
C007267,dump,1,[22176231]
C045628,ectoine,1,[17552251]
D015118,eicosapentaenoic acid,5,"[16535638, 11311432, 7968276, 18398463, 21518217]"
D017984,enoxaparin,1,[16950076]
D004875,ergosterol,1,[22363223]
C036071,ergosterol peroxide,1,[22363223]
D004917,erythromycin,1,[8520110]
D005228,essential fatty acids,1,[22072996]
D000431,ethanol,2,"[15938401, 23411445]"
C007650,ethyl acetate,2,"[17453737, 17290864]"
C033180,ethyl oleate,1,[17007134]
C004912,ethylbenzene,2,"[22717885, 18286224]"
C031234,ethylene diamine,1,[18224315]
D004492,ethylenediamine tetra-acetic acid,1,[17994287]
D004492,ethylenediaminetetraacetic acid,2,"[9680298, 15747087]"
D005227,fatty acid,22,"[16347037, 11425725, 16133656, 16535638, 15694592, 1217333, 16348900, 22688244, 10705450, 6876770, 9560807, 16003476, 9676237, 12892124, 15908251, 10941790, 19625435, 12501424, 16189794, 20228212, 20549377, 18326567]"
D005227,fatty acids,24,"[15064982, 16347037, 10591014, 11425725, 16535638, 1217333, 16348900, 22688244, 22886517, 7968276, 14657132, 20547357, 10941790, 18218933, 17329768, 17267951, 18684121, 15879252, 12501424, 16189794, 20228216, 20228212, 15529752, 19060085]"
D005227,fatty-acid,1,[18654820]
D005395,fish oil,3,"[23050445, 17580701, 22950577]"
C007738,fluoranthene,2,"[22260053, 18430013]"
C041509,fluorene,1,[18430013]
D019793,fluorescein,1,[19002837]
D005492,folate,1,[15529739]
D005557,formaldehyde,2,"[14711622, 16307087]"
D005557,formalin,3,"[16153033, 16499691, 2570428]"
C030544,formate,3,"[11571157, 18699783, 12013430]"
D005557,formol,1,[11508629]
D005230,free fatty acids,1,[18422956]
D005643,fucose,2,"[17015966, 12147080]"
D037741,fullerene,1,[12804366]
D037741,fullerenes,1,[12804366]
C005023,fulvic acids,1,[15292952]
D005650,fumarate,1,[17220442]
C012990,galactomannan,1,[23411445]
D005690,galactose,5,"[17015966, 12732953, 9134716, 8572714, 12147080]"
C007819,galacturonic acids,2,"[12732953, 12147080]"
C094791,gamma-indomycinone,1,[7623040]
D005936,glucan,1,[17291578]
D005944,glucosamine,1,[21671195]
C020341,glucosaminoglycans,1,[10073314]
D005947,glucose,17,"[21432276, 23761360, 9676240, 9680332, 9336897, 17464071, 16347302, 3569498, 14657132, 11594610, 12732953, 17734142, 9134716, 8572714, 23411445, 12147080, 7545383]"
D020723,glucuronic acid,2,"[8823906, 8572714]"
D005965,glucuronic acids,1,[9134716]
C038910,glucuronoxylan,1,[11963894]
D018698,glutamate,5,"[16133656, 6127054, 12486458, 12486460, 16348934]"
D018698,glutamic acid,4,"[17753956, 16346897, 15908251, 14676368]"
D005973,glutamine,1,[14523555]
D005976,glutaraldehyde,2,"[974915, 21571752]"
D005978,glutathione,1,[11076735]
D005990,glycerol,2,"[8727645, 19190702]"
D005998,glycine,4,"[12443924, 17753956, 19002649, 11170013]"
D001622,glycine betaine,1,[12486458]
D006003,glycogen,5,"[20703316, 9676240, 501739, 9680298, 2037027]"
D006025,glycosaminoglycan,1,[22072996]
D006025,glycosaminoglycans,1,[23261779]
D006027,glycoside,2,"[15595615, 20686828]"
D006027,glycosides,4,"[15595615, 12502318, 22304344, 22072996]"
D006028,glycosphingolipids,1,[22072996]
D006037,glyoxal,1,[16307087]
C031150,glyoxylate,1,[16758861]
D006108,graphite,1,[12804366]
C054853,grincamycin,1,[22304344]
D006147,guanine,1,[17493812]
D006150,guanine nucleotide,2,"[29314978, 8877814]"
C038949,heliox,1,[8045314]
D006371,helium,7,"[17817428, 16348606, 17829270, 17802550, 20034233, 870851, 12804366]"
C000615206,helium-3,2,"[17829270, 17802550]"
D006418,heme,5,"[7763791, 10081955, 2690960, 14523555, 3697364]"
C031690,heme c,2,"[9672683, 10781566]"
C007916,hemicellulose,1,[11963894]
D006493,heparin,1,[9690985]
D006581,hexachlorobenzene,2,"[12398406, 11833489]"
D001556,hexachlorocyclohexane,1,[11833489]
D001556,hexachlorocyclohexanes,1,[12398406]
C007932,hexadecane,1,[18062265]
C471213,hexahistidine,1,[16040350]
D006586,hexane,1,[26059140]
D006595,hexosamines,1,[9336897]
D006601,hexose,1,[12147080]
D006632,histamine,2,"[9148611, 22834904]"
D006639,histidine,2,"[17753956, 14523555]"
D006812,humic acids,1,[15292952]
D006838,hydrocarbon,17,"[12094722, 19943883, 10603254, 21814288, 17839567, 20673676, 18062265, 17839368, 20856885, 16592185, 11543277, 19719622, 14628063, 18478171, 20736401, 2651424, 22717885]"
D006838,hydrocarbons,9,"[21829635, 22187459, 20673676, 9560807, 10731600, 14628063, 22717885, 20541320, 6518760]"
D006851,hydrochloric acid,1,[22159570]
D006859,hydrogen,27,"[16418793, 22822404, 26059140, 15074034, 21510391, 9103642, 18876410, 17828281, 23263870, 11571157, 10015684, 20132283, 16269773, 14753985, 17841485, 18699783, 12148612, 19181663, 6139233, 10966393, 11538653, 1471405, 18163871, 17995604, 18627412, 19381756, 16758861]"
D006861,hydrogen peroxide,2,"[11076735, 16750649]"
D006862,hydrogen sulfide,14,"[22180817, 21151830, 11008690, 23449845, 20856898, 8472894, 16535321, 11543277, 16329971, 15198040, 16348934, 10224031, 11008691, 22957196]"
D006862,hydrogen sulphide,5,"[22279770, 17828281, 17148377, 9734046, 9734024]"
D017665,hydroxyl radicals,1,[17810867]
C003949,hypotaurine,3,"[12443924, 18396164, 9436533]"
C099089,illite,1,[17734497]
D007098,imino acid,2,"[26059140, 17995604]"
D026121,indole alkaloid,1,[23271423]
D007213,indomethacin,1,[20640522]
D010710,inorganic phosphate,2,"[12420966, 18457109]"
C000615163,ionium,1,[17818998]
D002351,iota-carrageenan,1,[20686828]
D007495,iridium,6,"[18964014, 17819180, 17783054, 17819179, 17815539, 23129649]"
